original_title,budget,revenue,profit
Avatar,237000000,2781505847,2544505847
Star Wars: The Force Awakens,200000000,2068178225,1868178225
Titanic,200000000,1845034188,1645034188
Jurassic World,150000000,1513528810,1363528810
Furious 7,190000000,1506249360,1316249360
The Avengers,220000000,1519557910,1299557910
Harry Potter and the Deathly Hallows: Part 2,125000000,1327817822,1202817822
Avengers: Age of Ultron,280000000,1405035767,1125035767
Frozen,150000000,1274219009,1124219009
The Net,22000000,1106279658,1084279658
